schoolCode,schoolName,contactNumber
KA144,Don Bosco School P.b. No. 64  N.h. 4 RoadKelagote  Chitradurga  India,"08194-234804
"
KA145,St. Vincent Pallotti School Babusahib Palya BENGALURU  India,"08049535226
"
KA146,New Baldwin International Residential School Survey No. 128/P 14 & 182  Mandoor-Boodigere Road  BENGALURU  India,"08045544554
"
KA147,Sapthagiri Public School Koppal Road  VaddarahattiGangavathi  Koppal  India,"9900081097
"
KA148,M G School For Excellence 171 Someshwara Temple Road  BilekahalliBannerghatta Road  BENGALURU  India,"09886122904
"
KA149,B. M. English School 35 A  36/3 A  Ksonnappanahalli  BENGALURU  BENGALURU  India,"080-25547030
"
KA150,Bhageerathi Bai Narayana Rao Maanay Public School Post Box No. 7087  12th Main Road  27th Cross  Banashankari Ii StageBENGALURU  BENGALURU  India,"080-26714440
"
KA151,Gnana Jyothi School Nh 4  M.I.T.C. Colony  V. GuttahalliMulbagal  Kolar  India,"09242613860
"
KA152,Sarvodaya National Public School No. 12  10th Main  Binny Layout  Nagarabhavi RoadVijayanagar  BENGALURU  India,"080-23303772
"
KA153,Greenwood High No. 8 - 14  Chickkwadayura Pura  Heggondahalli  Gunjur PostVarthur Via  BENGALURU  India,"080-27822888
"
KA154,Kanva Public School Kanva Nagar  Dhanoji Palya  Arashina Kunte DhakaleNelamangala  BENGALURU  India,"080-27700275
"
KA155,Mitra Academy 7 / 1  2nd Main  ArakereBENGALURU  BENGALURU  India,"080-41107545
"
KA156,Primus Public School Chikanayakanahalli  Sarjapur RoadBENGALURU  BENGALURU  India,"9606049153
"
KA157,Shantiniketan Trust School No. 70  Bilekahalli  BENGALURU  BENGALURU  India,"080-26484165
"
KA158,Inventure Academy Whitefield - Sarjapur Road  Near Dommasandra CircleChikkavaderpura  BENGALURU  India,"080-27802605
"
KA159,Varin International Residential School Doddahosur  Kunigal Road  Gulur Post  Tumkur  India,"9900042015
"
KA160,St. Mary's Public School No. 1  T. Dasarahalli  Banglore  BENGALURU  India,"080-28392711
"
KA161,Basavarajeswari Public School & College No. 890 B  Patel Nagar  Ananthapur Road  Bellary  India,"08392-261190
"
KA162,Ebenezer International School Via Huskur Road/Apmc Yard  (After Singena Agrahara Road)Electronic City  BENGALURU  India,"080-27848222
"
KA163,Christ Academy I. C. S. E. School Hullahalli  Sakkalwara Post  Begur - Koppa RoadBENGALURU  BENGALURU  India,"09448204411
"
KA164,Chinmaya Vidyalaya No. 31  15Th Main  Iv Block  Koramangala  BENGALURU  India,"080-25538341
"
KA165,St. Philomena's Public School Sarjapura  Attibele Main RoadAnekal Taluk  BENGALURU  India,"7204240640
"
KA166,Shanti Dhama English Higher Primary School Sunkadakatte  Magadi Main Road  BENGALURU  India,"080-23484244
"
KA167,Cauvery Primary & High School No. 2387/1  'E' Block  Sahakarnagar  BENGALURU  India,"080-41172117
"
KA168,Kroot Memorial School Old Madras Road  HoskoteBENGALURU  BENGALURU  India,"080-27900192
"
KA169,Martin Luther English School 15Th Main  Nagendra Block  Girinagar Extn.BSK III stage  BENGALURU  India,"080-26729030
"
KA170,Mc' Nay Doon's Public School Near Goutham College Of Pharmacy  Sulthan PalyaR.T. Nagar Post  BENGALURU  India,"080-23639735
"
KA171,St. Francis Icse School Balarapatna  RamasamundraChamarajanagar  Chamrajanagar  India,"08226-224715
"
KA172,Parivarthan Gurukul Heritage English Medium School Akshay Nagar (gokul Road)  Hubli  Dharwad  India,"9449596640
"
KA173,Vinayaka Public School No.205  1st Main  Vinayaka Nagar  Bagalur Cross  I.a.f. PostYelahanka  BENGALURU  India,"080-49567131
"
KA173,Vinayaka Public School No.205  1st Main  Vinayaka Nagar  Bagalur Cross  I.a.f. PostYelahanka  BENGALURU  India,"080-49567131
"
KA174,R.V.S.R. Central School Survey No. 57 / A  MarlanahalliGangavathi Taluk  Koppal  India,"08533-295488
"
KA175,St. Michael's High School Geddalahalli  Kothanur P.o.BENGALURU  BENGALURU  India,"080-28465281
"
KA176,Bangalore International Public School No. 58 / 2  Subramanyapura Main Road  ChikkalasandraBENGALURU  BENGALURU  India,"080-26664446
"
KA177,Pupil Tree School 5th K M Stone  Talur Road  Bellary  India,"08392-651433
"
KA178,Patel Public School Kariyammana Agrahara  Near Outer Ring Road  Opp. New Horizon CollegeBellandur Post  BENGALURU  India,"080-65580003
"
KA179,Sri R.V. School R. V. Garden  P. C. Hally  Nh - 4  Bypass  Kolar  India,"09141196063
"
KA180,Lorven Public School No. 84 / 1  Chandapura  Anekal RoadBENGALURU  BENGALURU  India,"080-2783370
"
KA181,Outreach School 24/1-1  B.T.S. Road  Wilson Garden Extn.  BENGALURU  India,"080-41506103
"
KA182,Venus International Public School 19/A  19 B/2  K.B. Temple Street  6Th Block  Rajajinagar  BENGALURU  India,"080-65354403
"
KA183,Anantha International School Ananthasadana  LaxmipuraArsikere  Hassan  India,"08174-233384
"
KA184,Adhyayan School CA - 02  Adishakthi Road  Shakthinagar  Mysore  India,"0821-2476147
"
KA185,California Public School 134  Vishwabharathi Campus  Magadi RoadKamakshipalya  BENGALURU  India,"080-23488623
"
KA186,Holy Spirit School Kalena Agrahara  Bannerghatta RoadS.O.S. Post  BENGALURU  India,"080-26493037
"
KA187,Vijayashree Public School Opposite Mei Layout  Mallasandra  BENGALURU  India,"080-28399899
"
KA189,Sharath Memorial School Kempegowda Circle  Magadi RoadRamanagaram  Bangalore Rural  India,"080-27274758
"
KA190,St. Mary's Convent School Begur - Koppa Road  Hommadevanahalli  Gottigere (post)BENGALURU  BENGALURU  India,"7406422765
"
KA191,Akshara Residential School Kalenahalli Cross  P.b. No. 09Shikaripura  Shimoga  India,"08187-290279
"
KA192,Holy Saint High School No. 424  5Th Cross  Vii Block (West)Jayanagar  BENGALURU  India,"080-26766903
"
KA193,Vasavi Vidya Peetha Kalya Gate Bangalore Rural  India,"080-7745910
"
KA194,Lawrence High School 9th Main  VI Sector  H. S. R. LayoutBENGALURU  BENGALURU  India,"080-25722777
"
KA195,Green Country Public School No. 414  Survey No. 106/7  Bellary Road  N.H. 7Ambruthahalli  BENGALURU  India,"080-23534259
"
KA196,Silicon Valley School #1  Vidyasagar Layout  Kembathhalli Road  Gottigere  Near Water Tank Off. Bannerghatta Road  BENGALURU  India,"080-22720810
"
KA197,St. Francis De Sales Public School Hebbagodi  Huskur GateBENGALURU  BENGALURU  India,"080-27831451
"
KA198,S.G.M. Public School Muneshwara Block  Mysore Road  Avalahalli  G. E. F. PostBENGALURU  BENGALURU  India,"080-25905944
"
KA199,Santhome Public School Kyatamgere  Bannur Road  Kiragandur (P.O.)  Mandya  India,"08232-219124
"
KA200,Vibgyor High 58/1  Thubarahalli  Whitefield Road  Behind Shriram Samrudhi ApartmentsVarthur (Marathahalli)  BENGALURU  India,"080-33725600
"
KA201,Gnanodaya Public School #413/4  Belawadi  Naguvanahalli PostSrirangapatna Taluk  Mandya  India,"08236-292692
"
KA202,Silicon Valley School 'c' Block  Sahakaranagar  BENGALURU  BENGALURU  India,"080-23637260
"
KA203,Shanti Niketan Public School J.P. Nagar  Hospet  Bellary  India,"9916357292
"
KA204,St. Dominic's School Chikkalasandra  Subramanyapura PostBENGALURU  BENGALURU  India,"080-26394233
"
KA205,Lady Vailankanni English School Varthur  Behind Vinayaka Theatre  BENGALURU  India,"080-28538201
"
KA206,Nazareth School Banakal Post  Mudigere TalukChikmagalur  Chickmagalur  India,"08263-232318
"
KA207,Kenneth George English School #57  7th Cross  Shri Bhuvaneshwari Nagar  Coffee Board LayoutKempapura  BENGALURU  India,"080-22331329
"
KA208,Ryan International School Survey No. 13  Opp. Confident CascadeBannerghatta  BENGALURU  India,"080-27828213
"
KA209,Dnyan Prabodhan Mandir 438/13  Jaitan Mal  Near Ashok Iron Plant - IUdyambag  Belgaum  India,"8310594523
"
KA210,Aradhana School I.I.M. Post  Arekere  Bannerghatta Road  BENGALURU  India,"080-26585781
"
KA211,Amarajyothi English Primary School Devasandra  Krishnarajapuram  BENGALURU  India,"080-25613555
"
KA212,V. E. S. Model Convent No. 63  Old Survey. No. 195/196  Magadi Main RoadBangalore South Taluk  BENGALURU  India,"080-28434407
"
KA213,St. Mary's International School Undedasarahalli  Uppalli VillageIndavara Post  Chickmagalur  India,"08262-201122
"
KA214,Triveni Public School S. No. 39  Hesaraghatta Main Road  Nagasandra P.o.Bagalagunte  BENGALURU  India,"080-23721148
"
KA215,Gem International Residential School Yerragunte Village  Bevinahalli Gramapanchayat  Thondebhavi HobliGauribidanur Taluk  Chikballapur  India,"08155-289752
"
KA216,Gopalan International School Hoodi Village  K.r. Puram Hobli  BENGALURU  India,"080-40936034
"
KA217,Gopalan National School Plot No. 13  Doddenakundi II Phase  Brookefield RoadBENGALURU  BENGALURU  India,"080-41554091
"
KA218,Christ International School Alambady Kolar  India,"9880155221
"
KA219,Rainbow Residential Public School P.B. No. 63  N.H.-4  P.B. Road  KamadodRanebennur  Haveri  India,"08453005046
"
KA220,Jubilee International Public School No. 14/1  3Rd Main  Papareddy PalyaNagarabhavi 2nd Stage  BENGALURU  India,"080-23182191
"
KA221,Green Valley English School Chunchaghatta Main Road  Konanakunte  Kanakapura Road  BENGALURU  India,"9743455551
"
KA222,Sri Krishna International School No. 2 (P)  I.T.I. Layout  B.S.K. Iii Stage  BENGALURU  India,"080-26690799
"
KA223,A.C. School Mes Ring Road  Jalahalli  BENGALURU  India,"080-23452133
"
KA224,St. Francis School Begur Road  HongasandraBENGALURU  BENGALURU  India,"080-25731347
"
KA225,Nazareth School Old Chandapura  Hosur Main RoadAnekal Taluk  BENGALURU  India,"09242641178
"
KA226,Sri Taralabalu School Anubhavamantapa  P.B. No. 303  Davangere  India,"08192-222270
"
KA227,V.L.S. International School 7/1  7th 'B' Main Road  Sharada Colony  Survey No. 82/2  3rd Stage  Iv BlockBasaveshwaranagar  BENGALURU  India,"080-23481564
"
KA228,Nalanda Gurukula International Guddenahalli  Koppa PostPeriyapatna Taluk  Mysore  India,"08223-258253
"
KA229,Carmel Convent School Carmelaram P.o. BENGALURU  India,"7795332891
"
KA230,Oriental Primary And High School M. C. L.  Road  Gokul RoadHubli  Dharwad  India,"0836-2236009
"
KA231,S. F. S. Primary School Hospet Road Koppal  India,"08539225026
"
KA232,Anantha Vidyaniketana Sai Gardens Avathi VillageBengaluru  BENGALURU  India,"8277150999
"
KA234,Nightingales English School No. 1/B&C  3rd Main  B. T. M. IV Stage  1st BlockBENGALURU  BENGALURU  India,"080-26482213
"
KA235,H.a.l. Gnanajyoti School H. A. L. East Extension Township  G. B. J. ColonyBENGALURU  BENGALURU  India,"080-25400037
"
KA236,St. Joseph's Aksharadhama Sagar Road  Gadikoppa  Shimoga  India,"9205546131
"
KA237,B.G.S. World School Cheluvathimmanahalli  Post Box - 4  Bangalore - Bellary National HighwayAt & Dt. Chickballapur  Chikballapur  India,"08156-263151
"
KA238,Aditya Public School Mythri Layout  Sanjayanagar  Nelamangala Main RoadDoddaballapur  Bangalore Rural  India,"080-27622700
"
KA239,Sidhartha International School Sidhartha Extension  Gangondanahalli Main RoadNagasandra Post  BENGALURU  India,"9620100046
"
KA240,St. Francis Of Assisi School  Chikodi Mirjikodi  Chikodi  Belgaum  India,"08338-272670
"
KA241,National Public School Igglur  Near Surya City  Anekal TalukBENGALURU  BENGALURU  India,"080-27801684
"
KA242,Daffodils Concept School Gangavati Road  Hosahalli (E.J.) CrossTq. Sindhanur  Raichur  India,"08535200238
"
KA243,New Indus Valley Residential School Garden City College Road  Virgo Nagar (p)  BENGALURU  India,"080-64541682
"
KA244,St. Theresa Bacq Public School Byathi  Dr. S.r.k. Nagar Post  BENGALURU  India,"080-28445994
"
KA245,Sahyadri School Yadehalli  BettamakkiThirthalli Tq.  Shimoga  India,"08181-228810
"
KA246,Federal Public School # 27  Hegde Nagar Main Road  International Airport Cargo RoadYelahanka  BENGALURU  India,"09008581599
"
KA247,Flos Carmeli Convent School No. 480Old Kesare VillageNA  Mysore  India,"8197971344
"
KA248,St. John's School Old St Anthonys Church Road  Opp  Coffee Board LayoutH.A. Farm Post  Kempapura  BENGALURU  India,"080-22331313
"
KA249,N.E.T. Public School No. 17  2Nd Main Road  Gavipuram Extension  BENGALURU  India,"080-65905978
"
KA250,Trinity Central School Perampalli  Shivally VillageManipal  Udupi  India,"0820-2572525
"
KA251,Prem Seva Vidyalaya Prem Seva Nagar  1  EndrikayapuraNarasapura Malur Road  Kolar  India,"9449557837
"
KA252,Jyothi Nivas School Cauvery Extension  Srirangapatna  Mandya  India,"08277419684
"
KA253,Kuvempu Vidyaniketan Kadrimidri  Able Hobli  Rampura Post  Chickmagalur  India,"0862-224284
"
KA254,Shree Nandi Residential Public School S. No. 209c/3a  Yallapur RoadBadanahatti  Bellary  India,"09481740599
"
KA255,Ganga International School Nagaraj Farm  Near Gruhalakshmi Layout NelagadaranahalliBENGALURU  BENGALURU  India,"080-28397029
"
KA256,Bethesda International School No. 26/1 Ring Road  Kengeri Satellite TownBENGALURU  BENGALURU  India,"080-28484090
"
KA257,Maxwell Public School 9th Main  Hrbr-I BlockKalyan NagarBENGALURU  BENGALURU  India,"080-25450822
"
KA258,Podar International School #3/2  Hommadevanahalli  Begur Hobli  BasavanapuraOff Bannerghatta Road  BENGALURU  India,"9035022462
"
KA259,Vidyanjali Public School Ayodhya Nagar  Sagar RoadBhatkal  Uttara Kannada  India,"08385-222207
"
KA260,Christ School Dharmaram College Post  Christ School Road BENGALURU  BENGALURU  India,"080-26684053
"
KA261,Head Start Educational Academy 98/1  Kommasandra Dommasandra Post  Via SarjapuraBENGALURU  BENGALURU  India,"08027822564
"
KA262,R.T.N.E.T. Public School #3/1  Singanayakanahally  Doddaballapur Main RoadYelahanka Hobli  BENGALURU  India,"080-23339307
"
KA263,Aavishkar Academy #24/1  Sathyanarayana Temple Street  Opposite Philips MilleniaUlsoor  BENGALURU  India,"8971260043
"
KA264,Insight Academy #20  Vasanthapura Main Road  Off Kanakapura Road  BENGALURU  India,"080-26667333
"
KA265,Mary Immaculate School Wilson Garden  12th Main  15th Cross  BENGALURU  India,"080-22237022
"
KA266,Aryan Presidency School Ca 283  13th Main Bda Layout  13th Block Nagarabhavi 2 StageBENGALURU  BENGALURU  India,"080-23391455
"
KA267,Kunigal Valley International Residential School Hosarangaiahpalya  Bidinagere Post  B M Road  Kunigal  Tumkur  India,"08132-292391
"
KA268,Bethel International Public School 56/7  B.M. RoadARCHAKARAHALLI  Ramanagara  India,"080-29553311
"
KA269,Podar International School No. 32 & 33  Kiadb Industrial AreaKasaba Hubli  Hassan  India,"8884495230
"
KA270,New Baldwin School Geddalahalli  Narayanapura Cross  BENGALURU  India,"080-28444207
"
KA271,Mahalingpur Public School # R.S. No. 67  Jambagi ExtensionChimmad  Bagalkot  India,"08971189800
"
KA272,Vishwajyothi International Public School Bellary-adoni 100 Ft. Road  VijayanagaraSiruguppa  Bellary  India,"08396-222154
"
KA273,Janak Academy #2  SHROFF ENCLAVE  2ND CROSS  SYNDICATE BANK COLONY  AREKEREBengaluru  BENGALURU  India,"080-26581477
"
KA274,The Brigade School No. 26/1  Ward No. 9A  Rajaji Nagar ExtensionMalleswaram  BENGALURU  India,"080-41411581
"
KA275,Akash International Residential Public School Baichapura  Prasannahalli Road  DevanahalliBengaluru  BENGALURU  India,"080-27681349
"
KA276,Aleemee Public School Survey No. 15  Timmapuri ColonyGulbarga  BENGALURU  India,"08472-653477
"
KA277,Notre Dame Academy Notre Dame Nagar  Choodasandra Bengaluru  BENGALURU  India,"09535006836
"
KA278,Sharada Vidyalaya Public School No. 12/2  Nagasandra Post  T.g. HallyBENGALURU  BENGALURU  India,"080-32543101
"
KA279,The Brigade School No. 9  Survey No. 35dyavasandra Industrial Estate  Ist Phase  Krishnarajapuram HobliBengaluru  BENGALURU  India,"080-41158829
"
KA280,Chrysalis High Sy. No.219/3 & 219/5  Gunjur Village  Varthur Hobli  Whitefield Sarjapur Road  Bengaluru  BENGALURU  BENGALURU  India,"8861063812
"
KA281,United International School Hennur - Bagalur Main Road  Kannur Post  Chickagubbi Village  Bidarahalli HobliBengaluru  Bangalore Rural  India,"9483514744
"
KA282,Oxford Public School No. 1Srikantapura Nagasandra PostBengaluru  BENGALURU  India,"9945622240
"
KA283,Radhakrishna Public School No.-67/2Varadahalli Road Sagar  Shimoga  India,"08183-236228
"
KA284,Prajna Central School N H-206  Kadur  Chickmagalur  India,"9481411066
"
KA285,Sherwood High #01  BasavanapuraNear Nice Road Junction Bengaluru  BENGALURU  India,"08028429731
"
KA286,Shantha Vidyaniketan Peresandra Cross  Peresandra VillageChickballapur  Chikballapur  India,"08156-267484
"
KA287,Shree Dhanraj Phoolchand Hindi High School No.2  Victoria Road  BENGALURU  BENGALURU  India,"080-25548780
"
KA288,Carmel Academy Carmel Jyothi Campus  Bannerghatta RoadBengaluru  BENGALURU  India,"08040964602
"
KA289,St. Patrick's Academy Ambedkar Nagar  Sarjapur Main RoadBENGALURU  BENGALURU  India,"9483025313
"
KA290,Redbridge International Academy Survey No. 114  S Bingipura Village  Hulimangala PostJigani Hobli  Anekal TalukBENGALURU  BENGALURU  India,"+918110420303
"
KA291,Vibgyor High Survey No. 45/1 & 112  Vittasandra Village  Begur HobliBengaluru South Taluk Bengaluru  BENGALURU  India,"+918033280500
"
KA292,Greencity International School Kurandahalli  Hosur Main Road Kolar  India,"9448789080
"
KA293,BHOOMI PUBLIC SCHOOL Nh 206Herur Gubbi  Gubbi  Tumkur  India,"08131223333
"
KA294,St.Anne's School Near Sham Way Bridge  Vidyagiri  Bagalkot Bagalkot  India,"08354-233328
"
KA295,S. S. M. Public School 8th Mile  Tumkur Road  Nagasandra PostBengaluru  BENGALURU  India,"8971904571
"
KA296,Vinay Chikkatti School Near Adavisomapur  Mundargi Road  Gadag  India,"08372218838
"
KA297,Vibgyor High Survey No. 9/2  Konadasapura Village  Bidarahalli HobliKadugodi Main Road BENGALURU  BENGALURU  India,"6366746623
"
KA298,Vibgyor High S. No. 84/4  Horamavu VillageK. R. Puram Hobli  Bengaluru East Taluk BENGALURU  BENGALURU  India,"080-61596100
"
KA299,Spurthy Global School No.328  Marasur Gate  Anekal Main Road  Marasur Post.  Anekal Taluk Bengaluru  BENGALURU  India,
KA300,B G S Model Public School B G S Sasyakashi  Nelligere Cross  Nagamangala TalukMandya District  Mandya  India,"09482227204
"
KA301,Vidya Soudha Public School No. 9/1 1st Main1st Stage  PeenyaBengaluru  BENGALURU  India,"918028393344
"
KA302,New Shams School Post Box # 20  Syed Ali CampusBhatkal  Uttara Kannada  India,"9148607185
"
KA303,Shree Mahaveer Jain Vidyalaya #C.A-01  Siddartha Layout  Mysore Mysore  India,"08212475247
"
KA304,Parivarthan Elite English Medium School Ganjikatti Road  Mishrikoti  Taluk: Kalaghatgi  Dt: DharwadMishrikoti  Dharwad  India,"08370283504
"
KA305,Mahatma Vidyalaya Muthanallur  Anekal Tq. BENGALURU  BENGALURU  India,"+919743320202
"
KA306,GNAN SRISHTI SCHOOL OF EXCELLENCE No 85/63/61  19th Main  17th Cross Sector 1  HSR Layout  Bengaluru  BENGALURU  India,"080-22582002
"
KA307,Infant Jesus School Kadri-midri  Mugthihalli PostChikmagalur  Chickmagalur  India,"08262-224231
"
KA308,De Sales Academy Chandapura P.o.  Hosur Main RoadBENGALURU  Bangalore Rural  India,"080-27836250
"
KA309,Vishwa Vidyapeeth Sy.no-65  Singanayakanahalli  Doddaballapur Road  Yelahanka  Bengaluru NorthBENGALURU  BENGALURU  India,"23095606
"
KA310,Suguna International School Near Deepthi Mahal  Bangalore-chennai National Highway  Kolar  India,"9353046811
"
KA311,Shri Vivekananda Public School Raghavendra Saw Mill Road  Gayathri Extension  Hassan  India,"+919019036793
"
KA312,Brooklyn National Public School Ca 29  9 Th Main  Rpc Layout  Near Hampinagar Bus Stand BENGALURU  BENGALURU  India,"08023103211
"
KA313,S J B S S Public School 2nd Block  Rajaji NagarBENGALURU  Bangalore Rural  India,"08023322455
"
KA314,Standard Public School Kannada Kasturi Road  T. DasarahalliBENGALURU  BENGALURU  India,"08065675921
"
KA315,Swamy Vivekananda School Chandapura  Anekal Taluk  Bangalore-560099  BENGALURU  India,
KA316,Shrunga Vidyalaya DoddaDunnasandra Cross  Devanagondi post  Kadugodi(Via)Bangalore Rural Dist. 560067 Bangalore Rural  India,"08027945001
"
KA317,Warriors English School Bengaluru Road  Narahari Nagara  Chitradurga  India,"08195-222160
"
KA318,Global International School Pillagumpe  Hoskote TalukBENGALURU  Bangalore Rural  India,
KA319,Pratham International School Gulikaipura  Kotur Mutsandra RoadBENGALURU  BENGALURU  India,"8095000086
"
KA320,S.V.R. Public School #20/1  Samasandra Palya  BENGALURU  India,"08041400067
"
KA321,NEWAGE WORLD SCHOOL 121  Krishnarajapura Village  Hesarghatta HobliBENGALURU  BENGALURU  India,"7619482072
"
KA322,Tapovan School Near Koppagate  Bannerghatta Jigani HighwayBengaluru  BENGALURU  India,"29760356
"
KA323,Vibgyor High No. 107/1  Royal Placid  Haralur Road  (hsr Extension )  Somasundarapalya  Bangalore - 560102  BENGALURU  India,"46857500
"
KA324,INDIAN PUBLIC SCHOOL JNANADEGULA SSV CAMPUSTumkur  India,"08139-288488
"
KA325,The Paradise Residential School #1  BasapuraMaruthi Layout  Electronic City PostElectronic City  BENGALURU  India,"08043722206
"
KA326,M. E. C. Public School Site No 12  9th A Cross  Newtown YelahankaBENGALURU  BENGALURU  India,"08043432122
"
KA327,Greenfield Public School Sy No.39/5 & 39/6 (old Sy.no.68/2)  S.halli  Hebbal  Bellary Cross Road  Yelahanka BENGALURU  BENGALURU  India,"080-32329699
"
KA328,Arvind International School Girigowdanapalya Gate  Maddur Road  Tumkur  India,"+919483683003
"
KA329,St. Antony's Public School No. 62  Sacred Heart Road  T.C.Palya  K.R.Puram PostBENGALURU  BENGALURU  India,"08028474623
"
KA330,Sona Valliappaa Public School Hejjala  Bidadi Hobli Ramanagara  India,"9886733543
"
KA331,Sri Vivekananda International School Off Shankaranagara  Halkurke Road  Tumkur  India,"07353395777
"
KA332,Elite Public School No: 441  Kempegowda LayoutChowdeshwarinagarBENGALURU  BENGALURU  India,"9480333007
"
KA333,B G S World School Nagarur Village  Dasanapura HobliBENGALURU  Bangalore Rural  India,"9449912993
"
KA334,Citizens' English School T G ExtensionVivekananda Nagar Bangalore Rural  India,"08027934786
"
KA335,Aham Aathma Vidyalaya #25/16 A gruhalakshmi Layout  doddabidarakallu Nelagedharanahalli  BENGALURU  BENGALURU  India,"+919902645678
"
KA336,Beena Vaidya International Public School Nh 66 Niragadde Murdeshwar  Bailoor  Uttara Kannada  India,"08385260800
"
KA337,St. Anne's School Hangal Road Haveri  State Karnataka  Haveri  India,"08375234533
"
KA338,Bishop Sargeant Central School Khatha No 28/11/1/1Devinagar  Lottegolohalli  Kasaba Hobli  Bangalore North Taluk  BENGALURU  India,"080-23518177
"
KA339,New Baldwin International School Sy No. 32/4 & 32/5  Maragondanahalli  Bidarahalli Hobli BENGALURU  BENGALURU  India,"9900262794
"
KA340,Athena Public School 63  5th Main Road  BENGALURU  India,"08026675909
"
KA341,Sree Pragnaa Gurukula School Kanchanahalli  T.n Pura  Mysore  India,"9448046090
"
KA342,Attibele Public School Jigala Cross  Sarjapura Main RoadBENGALURU  BENGALURU  India,"9980178947
"
KA343,St. Philomina Public School No 01 M.c.halli Road  Attibele  BENGALURU  India,"000-000
"
KA344,St. Anthony's School Shanthi Nilayam  Convent  YelenahalliBENGALURU  BENGALURU  India,"7406656658
"
KA345,Twinkle United Public School #2215  100 Feet Road First CrossMandya  India,"08232238674
"
KA346,Endeavour's International School MugalurPandithana Agrahara Road  Kugur Post  Sarjapura HobliBENGALURU  BENGALURU  India,"080-27823235
"
KA347,Bethany High School S. No. 162/2 - 162/4  Muthanallur Cross RoadHarohalli Gate  Kommasandra Village BENGALURU  BENGALURU  India,"9148146454
"
KA348,Vidya Samskruthi International School T.gollahalli Village And Post Bethmangala Hobli  Bangarpet Taluk  Kolar  India,"+919008296784
"
KA349,Sri Ramakrishna Sharadadevi Vidya Mandira Kallantharayana Gutte  Kalludi  Chikballapur  India,"09902400896
"
KA350,St. Norbert School Marianahalli  Doddagubbi PostBENGALURU  BENGALURU  India,"+919980386792
"
KA350,St. Norbert School Marianahalli  Doddagubbi PostBENGALURU  BENGALURU  India,"+919980386792
"
KA351,St. Francis School Devanahalli Road Ist Right CrossSwamy Vivekananda Road  Bangalore Rural  India,"9739650408
"
KA352,Cambridge Innovative School Mugalur  Kugur Post  BENGALURU  India,"08027823360
"
KA353,Indian High School Ca Site No. 4(a) Gnanabharathi  2nd Block  Nagadevanahalli  BENGALURU  India,"9620444465
"
KA354,St. Mary's Convent School H. Malligere Village And Post  Dudda Hobli  Mandya  India,"9019801260
"
KA355,New Baldwin International Residential School Sy No. 160 & 161  Menasiganahalli  Vanakanahalli PostHosur Main Road  Anekal TalukBENGALURU  BENGALURU  India,"080-67696900
"
KA356,Kingston High Lower Primary School No.50/2&3 VeerannapalyaArabic College PostBENGALURU  BENGALURU  India,"9886600730
"
KA357,Aashley International School Budikote Road Kolar  India,"08153290288
"
KA358,Pavan Residential School # Gnana Saraswathi Campus  3km Mile Stone  Kurugodu - Kampli RoadBellary  India,
KA359,Prestige International School Sy No 65Virgonagar Post BENGALURU  BENGALURU  India,"+917899295545
"
KA360,Aditya National Public School No.12  Kogilu Main Road  Maruthinagar 2nd DivisionBehind Annapurneshwari TempleBENGALURU  BENGALURU  India,"08065471969
"
KA361,Smt. Pushpa Shamanur Mahalingappa Residential School Beside Nh-4  Hale Bathi  Davangere  India,"8970071100
"
KA362,Green Wood High School Survey No 61C K Palya RoadBengaluru  BENGALURU  India,"8884434027
"
KA363,Vibgyor High Survey No. 137  Kammanahalli  VillageBannerghatta Road  Begur HobliBengaluru  BENGALURU  India,"08022549900
"
KA364,Aryabhatta International Academy Newton CampusChittapur RoadGulbarga  India,"9108264667
"
KA365,Shanthala  Vidya Peetha Higher Primary School Sheela Marga  Siddartha Nagara  Mysore  India,"0821-2471347
"
KA366,Blooming Buds School Cts No 5710Jakkeri Honda  Opp. Railway Over Bridge  Belgaum  India,"0831-4202678
"
KA367,THE BISHOP COTTON ACADEMY SY. NO. 204/2 6 7 (S MEDAHALLI)  adigara kallahalli road  Billapura villageBengaluru  BENGALURU  India,
KA368,San International School Siddaihana Koppalu  Yeliyur Post  Kothathi Hobli  Mandya  India,"8867015936
"
KA369,Samskruthi Gurukula Mahadeshwara Temple Road  Sundahalli  Mandya  India,"08232401457
"
KA370,Brookfield High School Singena Agrahara Road  Near Apmc Fruit Market  Electronic City Phase 2 BENGALURU  Bangalore Rural  India,"9243606247
"
KA371,Carlo Cavina School Adigondanahalli  Muthanallur PostBengaluru  BENGALURU  India,"8867136728
"
KA372,Christ School V. P. Bore  Darga Road  Mysore  India,"08222250456
"
KA373,A R J International The Futuristic School Kannal CrossNear Shri Sai Ganesh Petroleum  Bijapur  India,"+919741182277
"
KA374,B G S World School C A Site No .6 And 7  2nd StageWest Of  Chord Road.BENGALURU  BENGALURU  India,"08023496765
"
KA375,Maruthi International Public School Goonadka  Sampaje Village  Dakshina Kannada  India,"08257-298543
"
KA376,St.ann's Eng.med. School St.ann's Road  Akshaya Nagar  BENGALURU  India,"9591578931
"
KA377,Baldwin School Opp Old Bus Stand Kolar  India,"9731752525
"
KA378,Trio World School Plot No. 3/5  Kodigehalli Main Road  Sahakar NagarBengaluru  BENGALURU  India,"08040611222
"
KA379,Neev Academy School Survey No. 16/2  Kempapura Village Bengaluru  BENGALURU  India,"080-71101700
"
KA380,22ND CENTURY PUBLIC SCHOOL D A 1772/KT 54/A ARAKERE  BANNUR ROAD MANDYA  Mandya  India,
