schoolCode,schoolName,contactNumber
AP080,Bethany School D.no. 10 - 50 - 29  Waltair Main Road  Visakhapatnam  India,"0891-2706121
"
AP081,Sri Sai Public School Muthangi P.o.  Balaji Nagar ColonyHyderabad  Medak  India,"08455-242525
"
AP082,Abhyasa Residential Public School Toopran  Medak  India,"08454-235718
"
AP083,St. Theresa High School Arul Colony  E.C.I.L.  P. O.  Hyderabad  India,"040-27124329
"
AP084,De Paul School Sector VIII  Ukkunagaram  Visakhapatnam  India,"0891-2510928
"
AP086,Princess Esin Girls' High School Purani Haveli  Hyderabad  Hyderabad  India,"040-24574861
"
AP087,Gitanjali  Devshala 154  Sappers Lines  Secunderabad  Hyderabad  India,"040-27908260
"
AP088,Nasr School Boys 1 - 72 - 4 / 4  Survey No. 47  GachibowliSerilingampally Mandal  Hyderabad  India,"040-23001248
"
AP089,Sri Aurobindo International School 2 - 2 - 4 / 1  Osmania University Road  Hyderabad  Hyderabad  India,"040-27098515
"
AP090,St. Francis School P O P.m Palam  Madhura Wada  Visakhapatnam  India,"0891-2781481
"
AP091,Sree Simhapuri Day School Opp. Telugu Ganga Quarters  Vijayalakshmi Nagar  Nellore  India,"9866431779
"
AP092,Al Madrasa Tus Saifiya Tul Burhaniyah 3 - 18 - 73 / A  Lalamiya Basti  Pedda Kamela  R.t.c. ColonySecunderabad  Hyderabad  India,"040-40146672
"
AP094,St. Joseph's School 16 - 2 - 741  Asmangadh Palace  Malakpet  Hyderabad  India,"040-24064196
"
AP095,St. Joseph's School H.No. 8 - 11  Ravindranagar Colony  Street No. 8Habsiguda  Hyderabad  India,"040-27175833
"
AP096,Mrs. Mariadas U. P. School Annamma Colony  Sriharipuram  Visakhapatnam  India,"09618807086
"
AP097,Ramadevi Public School Off N.h. -9  Near Ramoji Film City  Hayatnagar  Hyderabad  India,"9989990738
"
AP098,Sujatha School (via) C.b.i.t.  Himayathnagar (village & Post)Moinabad Mandal  Rangareddy  India,"08413-235181
"
AP099,Heritage Valley The Indian School Papireddyguda  KeshampetShadnagar  Mahabubnagar  India,"7993978003
"
AP100,The Hyderabad Public School Opp. Rims  PutlampalleCuddapah  Kadapa  India,"08562-200444
"
AP101,The Future Kid's School Plot No.2-95  Survey No.284  PuppalgudaHyderabad  Rangareddy  India,"040-23545045
"
AP102,The Peepal Grove School P.o. Gongivaripalli  Sadum Mandal  Chittoor  India,"9391165157
"
AP104,The Future Kid's School 88 - 1 - 26  Beside O.n.g.c. Base Complex  Kavalagoyya RoadRajahmundry  East Godavari  India,"0883-2466499
"
AP105,Indian Blossoms International School Kothapatnam Road  Near KoppoleOngole  Prakasam  India,"7660005778
"
AP106,Sacred Heart Convent School 9-102/1  Chenna Reddy Layout  PeerzadigudaHyderabad  Rangareddy  India,"09505976270
"
AP107,St. Ann's High School Pet Basheerabad  Kompally  Rangareddy  India,"04027165260
"
